#,دسته,فرمان,"توضیح — چه کار می‌کنه","کجا اجرا کنم","مثال / نکته"
1,Git,"git status","وضعیت فایل‌های تغییر یافته و شاخهٔ فعلی رو نشون می‌ده","توی root ریپو","قبل از هر commit اینو بزن تا مطمئن شی چی می‌ره تو commit"
2,Git,"git log --oneline -5","آخرین ۵ commit رو خلاصه لیست می‌کنه","توی root ریپو","برای دیدن تاریخچهٔ اخیر"
3,Git,"git checkout -b <branch-name>","یک شاخهٔ جدید می‌سازه و به اون سوییچ می‌کنه","توی root ریپو","مثال: git checkout -b claude/new-feature"
4,Git,"git fetch origin main","آخرین تغییرات main رو از سرور می‌گیره (ولی merge نمی‌کنه)","توی root ریپو","قبل از merge/rebase همیشه fetch کن"
5,Git,"git merge origin/main","تغییرات main رو داخل شاخهٔ فعلی merge می‌کنه","توی root ریپو","بعد از fetch — اگه conflict بود، حل کن و commit کن"
6,Git,"git add <file>","فایل رو برای commit بعدی آماده می‌کنه","توی root ریپو","مثال: git add index.html   —   یا git add . برای همه"
7,Git,"git commit -m ""پیام""","تغییرات stage شده رو commit می‌کنه","توی root ریپو","پیام رو کوتاه و توصیفی بنویس؛ به انگلیسی"
8,Git,"git push -u origin <branch>","commit‌های محلی رو به سرور می‌فرسته","توی root ریپو","بار اول -u بذار تا tracking درست بشه"
9,Git,"git pull origin <branch>","تغییرات سرور رو می‌کشه و merge می‌کنه","توی root ریپو","معادل fetch + merge"
10,Cloudflare Worker,"npm install","وابستگی‌های Node رو نصب می‌کنه","توی فولدر worker/","فقط اولین بار یا وقتی package.json تغییر کنه"
11,Cloudflare Worker,"npx wrangler deploy","Worker رو دستی به Cloudflare deploy می‌کنه","توی فولدر worker/","معمولاً لازم نیست — auto-deploy می‌شه با push به main"
12,Cloudflare Worker,"node --check worker/src/index.js","syntax فایل رو چک می‌کنه بدون اجرا","توی root ریپو","قبل از push حتماً بزن — خطاهای typo رو می‌گیره"
13,Cloudflare Worker,"node --check worker/src/engine.js","syntax فایل موتور رو چک می‌کنه","توی root ریپو","همراه فرمان بالا"
14,Local dev,"npx serve .","یک سرور استاتیک ساده روی localhost اجرا می‌کنه","توی فولدر پروژه (مثلاً jobfit/)","معمولاً پورت 3000 — برای تست PWA قبل از deploy"
15,Local dev,"python3 -m http.server 8000","سرور استاتیک با پایتون روی پورت 8000","توی فولدر پروژه","اگه npx نداری، این ساده‌ترین جایگزینه"
16,File split (Windows),"7-Zip → Add to archive → Split to volumes: 25M","فایل بزرگ رو به قطعات ۲۵ مگی تیکه می‌کنه","توی File Explorer، راست‌کلیک روی فایل","برای آپلود فایل بزرگ‌تر از ۳۰ مگ به من"
17,File split (Mac/Linux),"split -b 25m bigfile.bin part_","فایل رو به قطعات ۲۵ مگی به اسم part_aa، part_ab، ... تقسیم می‌کنه","توی ترمینال، در فولدر فایل","برای joint‌کردن: cat part_* > bigfile.bin"
18,Cloudflare secrets,"Dashboard → Workers → پروژه → Settings → Variables and secrets","تنظیم متغیر/سکرت‌های Worker","توی مرورگر","هرگز secret رو توی کد commit نکن — اینجا بذارش"
19,Cloudflare deploy check,"Dashboard → Workers → پروژه → Deployments","دیدن آخرین deploy و وضعیتش (سبز/قرمز)","توی مرورگر","بعد از push به main، ۱-۲ دقیقه صبر کن و اینجا چک کن"
20,GitHub Pages,"Repo Settings → Pages","فعال‌سازی سرو استاتیک از یک شاخه","توی مرورگر","برای سرو index.html (frontend)"
21,Zoom Live Subtitles install,"Windows Settings → Apps → Zoom Live Subtitles → Uninstall","حذف نسخهٔ قدیمی قبل نصب جدید","توی Windows","قبل از نصب هر بیلد جدید"
22,Zoom Live Subtitles install,"Right-click .exe → More info → Run anyway","نصب فایل بدون امضا رغم هشدار SmartScreen","توی Windows","چون فعلاً امضای دیجیتال نداریم"
23,Kraken key,"Kraken → Settings → API → Generate new key","ساخت کلید API جدید","توی سایت Kraken","کلید رو بلافاصله توی Cloudflare secrets بذار، هیچ‌جا commit یا آپلود نکن"
24,Zoom Live Subtitles build,"Push به شاخهٔ claude/zoom-persian-subtitles-translation-k08eqj","GitHub Actions خودکار .exe می‌سازه و به Release attach می‌کنه","یا از طریق git push یا commit توسط Claude","لینک بیلد آخر توی PROFILE.md هست"
25,Get build artifact,"باز کردن release در GitHub و دانلود .exe","دریافت آخرین installer ویندوز","توی مرورگر","URL ثابت — با هر build آپدیت می‌شه"
26,Cloudflare Workers Build از GitHub,"Push به main → auto-deploy","هر merge به main باعث deploy خودکار Worker می‌شه","خودکار، هیچ کار دستی نمی‌خواد","اگه build fail شد، لاگ توی Deployments هست"
27,PayPal env,"PAYPAL_ENV=live","حالت production پرداخت (نه sandbox)","توی Cloudflare secrets","برای تست باید موقتاً sandbox بذاری و پرداخت‌های واقعی رو بیرون کنی"
28,Split ZIP بزرگ,"Windows: 7-Zip گزینهٔ Split to volumes","تقسیم آرشیو zip به چند قسمت","توی 7-Zip","برای آپلود فایل‌های بالای ۳۰ مگ به Claude"
29,Sync به Drive بعد از commit,"همون فایل تغییریافته رو توی فولدر مربوطه Drive آپلود کن","backup دستی نسخه‌های نهایی توی Drive","خودکار توسط Claude با mcp__Google_Drive__create_file","توجه: هر آپلود یک نسخهٔ جدید کنار قدیمی می‌سازه"
30,PROFILE.md آپدیت,"باز کن، ویرایش کن، save کن → آپلود جدید به Drive","حفظ حافظهٔ مرکزی به‌روز بین سشن‌ها","توی Google Drive یا از طریق Claude","لینک PROFILE.md همیشه ثابت هست"
